"Hex_tag_ID","Duwamish People's Park","Lower Green Barge 1","Lower Green Barge 2","Lower Russel Backwater","Porter Side Channel","WDFW TBiOS Opposite Slip 4","WDFW TBiOS Slip 4"
"3DD.003DEEC1C6",NA,NA,2024-05-16 21:09:06,NA,NA,NA,NA
"3DD.003DEEC1CB",NA,2024-05-16 21:10:46,2024-05-16 21:15:19,2024-05-16 21:10:46,NA,NA,NA
"3DD.003DEEC1CC",NA,2024-05-16 21:07:36,NA,2024-05-16 21:07:36,NA,NA,NA
"3DD.003DEEC1D4",NA,2024-05-16 20:54:03,2024-05-16 20:57:41,2024-05-16 20:54:03,NA,NA,NA
"3DD.003DEEC1D5",NA,2024-05-16 22:08:30,NA,2024-05-16 22:08:30,NA,NA,NA
"3DD.003DEEC1D7",NA,2024-05-19 11:47:48,NA,2024-05-19 11:47:48,NA,NA,NA
"3DD.003DEEC1D9",NA,2024-05-16 21:20:39,2024-05-16 21:28:21,2024-05-16 21:20:39,NA,NA,NA
"3DD.003DEEC1DA",NA,2024-05-16 21:05:34,NA,2024-05-16 21:05:34,NA,NA,NA
"3DD.003DEEC1DC",NA,NA,2024-05-16 21:53:30,NA,NA,NA,NA
"3DD.003DEEC1DE",NA,2024-05-16 21:10:49,NA,2024-05-16 21:10:49,NA,NA,NA
"3DD.003DEEC1DF",NA,NA,2024-05-17 21:48:13,NA,NA,NA,NA
"3DD.003DEEC1E0",NA,NA,2024-05-16 21:16:02,NA,NA,NA,NA
"3DD.003DEEC1E5",NA,NA,2024-05-16 21:13:15,NA,NA,NA,NA
"3DD.003DEEC1E6",NA,NA,2024-05-16 21:10:11,NA,NA,NA,NA
"3DD.003DEEC1E9",NA,2024-05-16 21:08:27,NA,2024-05-16 21:08:27,NA,NA,NA
"3DD.003DEEC1EB",NA,2024-05-16 21:56:42,NA,2024-05-16 21:56:42,NA,NA,NA
"3DD.003DEEC1EC",NA,2024-05-16 22:13:13,2024-05-16 22:37:59,2024-05-16 22:13:13,NA,NA,NA
"3DD.003DEEC1ED",NA,2024-05-17 01:18:26,NA,2024-05-17 01:18:26,NA,NA,NA
"3DD.003DEEC1EE",NA,NA,2024-05-16 21:19:19,NA,NA,NA,NA
"3DD.003DEEC1F1",NA,NA,2024-05-16 21:08:39,NA,NA,NA,NA
"3DD.003DEEC1F4",2024-05-24 06:11:02,2024-05-24 06:11:02,NA,NA,NA,NA,NA
"3DD.003DEEC1F5",NA,2024-05-16 21:13:27,NA,2024-05-16 21:13:27,NA,NA,NA
"3DD.003DEEC1F8",NA,2024-05-16 20:52:10,2024-05-16 20:56:44,2024-05-16 20:52:10,NA,NA,NA
"3DD.003DEEC1F9",NA,NA,2024-05-16 21:26:11,NA,NA,NA,NA
"3DD.003DEEC1FB",NA,2024-05-17 03:48:21,NA,2024-05-17 03:48:21,NA,NA,NA
"3DD.003DEEC1FE",NA,2024-05-16 21:01:32,NA,2024-05-16 21:01:32,NA,NA,NA
"3DD.003DEEC200",NA,2024-05-16 21:05:53,2024-05-16 21:09:21,2024-05-16 21:05:53,NA,NA,NA
"3DD.003DEEC201",NA,NA,2024-05-16 22:28:19,NA,NA,NA,NA
"3DD.003DEEC203",NA,2024-05-16 21:17:34,NA,2024-05-16 21:17:34,NA,NA,NA
"3DD.003DEEC205",NA,NA,2024-05-16 21:08:24,NA,NA,NA,NA
"3DD.003DEEC207",2024-05-19 01:42:51,2024-05-19 01:42:51,NA,NA,NA,NA,NA
"3DD.003DEEC209",NA,2024-05-16 20:56:19,2024-05-16 21:00:05,2024-05-16 20:56:19,NA,NA,NA
"3DD.003DEEC20A",NA,NA,2024-05-16 21:10:51,NA,NA,NA,NA
"3DD.003DEEC20B",2024-05-22 02:18:13,2024-05-22 02:18:13,NA,NA,NA,NA,NA
"3DD.003DEEC20D",NA,2024-05-16 20:59:34,NA,2024-05-16 20:59:34,NA,NA,NA
"3DD.003DEEC216",NA,NA,2024-05-16 21:17:41,NA,NA,NA,NA
"3DD.003DEEC218",NA,NA,2024-05-16 21:11:26,NA,NA,NA,NA
"3DD.003DEEC219",NA,2024-05-16 21:06:43,NA,2024-05-16 21:06:43,NA,NA,NA
